iter	Passed	Remaining
441	1248	1575
442	1250	1572
443	1253	1569
444	1255	1566
445	1258	1562
446	1260	1559
447	1262	1556
448	1265	1552
449	1267	1549
450	1270	1546
451	1272	1542
452	1275	1539
453	1277	1536
454	1280	1533
455	1282	1530
456	1285	1526
457	1287	1523
458	1290	1520
459	1292	1517
460	1295	1514
461	1297	1510
462	1299	1507
463	1302	1504
464	1304	1501
465	1307	1497
466	1309	1494
467	1312	1491
468	1314	1488
469	1316	1484
470	1319	1481
471	1321	1478
472	1324	1475
473	1326	1472
474	1329	1469
475	1331	1465
476	1334	1462
477	1337	1460
478	1340	1457
479	1342	1454
480	1345	1451
481	1348	1448
482	1350	1445
483	1353	1443
484	1356	1440
485	1359	1437
486	1362	1434
487	1364	1431
488	1367	1428
489	1369	1425
490	1372	1422
491	1374	1419
492	1376	1416
493	1379	1412
494	1381	1409
495	1384	1406
496	1386	1403
497	1389	1400
498	1391	1397
499	1394	1394
500	1397	1391
501	1399	1388
502	1402	1385
503	1404	1382
504	1407	1379
505	1409	1376
506	1411	1372
507	1414	1369
508	1416	1366
509	1419	1363
510	1421	1360
511	1424	1357
512	1426	1354
513	1429	1351
514	1431	1348
515	1434	1345
516	1436	1342
517	1439	1339
518	1441	1336
519	1444	1333
520	1446	1330
521	1449	1326
522	1451	1323
523	1453	1320
524	1456	1317
525	1459	1314
526	1461	1311
527	1464	1308
528	1466	1305
529	1469	1302
530	1471	1299
531	1474	1296
532	1476	1293
533	1478	1290
534	1481	1287
535	1483	1284
536	1486	1281
537	1488	1278
538	1491	1275
539	1493	1272
540	1496	1269
541	1498	1266
542	1500	1263
543	1503	1260
544	1505	1257
545	1508	1254
546	1511	1251
547	1514	1248
548	1516	1245
549	1519	1242
550	1521	1240
551	1524	1237
552	1526	1234
553	1529	1231
554	1532	1228
555	1535	1226
556	1537	1223
557	1540	1220
558	1542	1217
559	1545	1214
560	1547	1211
561	1550	1208
562	1552	1205
563	1555	1202
564	1557	1199
565	1560	1196
566	1562	1193
567	1565	1190
568	1567	1187
569	1569	1184
570	1572	1181
571	1574	1178
572	1577	1175
573	1579	1172
574	1582	1169
575	1584	1166
576	1586	1163
577	1589	1160
578	1591	1157
579	1594	1154
580	1596	1151
581	1598	1148
582	1601	1145
583	1603	1142
584	1606	1139
585	1608	1136
586	1610	1133
587	1613	1130
588	1615	1127
589	1618	1124
590	1620	1121
591	1623	1118
592	1625	1115
593	1628	1112
594	1630	1109
595	1633	1107
596	1635	1104
597	1638	1101
598	1640	1098
599	1642	1095
600	1645	1092
601	1647	1089
602	1650	1086
603	1652	1083
604	1654	1080
605	1657	1077
606	1659	1074
607	1663	1072
608	1665	1069
609	1670	1067
610	1673	1065
611	1675	1062
612	1678	1059
613	1680	1056
614	1684	1054
615	1687	1051
616	1690	1049
617	1692	1046
618	1695	1043
619	1698	1041
620	1701	1038
621	1704	1035
622	1706	1032
623	1709	1029
624	1711	1027
625	1714	1024
626	1716	1021
627	1719	1018
628	1721	1015
629	1724	1012
630	1726	1009
631	1729	1006
632	1731	1004
633	1734	1001
634	1737	998
635	1739	995
636	1741	992
637	1744	989
638	1746	986
639	1749	984
640	1751	981
641	1754	978
642	1756	975
643	1759	972
644	1761	969
645	1764	966
646	1766	963
647	1768	960
648	1771	957
649	1773	955
650	1776	952
651	1778	949
652	1780	946
653	1783	943
654	1785	940
655	1788	937
656	1790	934
657	1793	932
658	1795	929
659	1798	926
660	1800	923
661	1803	920
662	1805	917
663	1808	914
664	1810	912
665	1812	909
666	1815	906
667	1817	903
668	1820	900
669	1822	897
670	1824	894
671	1827	891
672	1829	889
673	1832	886
674	1834	883
675	1837	880
676	1839	877
677	1841	874
678	1844	871
679	1846	869
680	1849	866
681	1851	863
682	1853	860
683	1857	857
684	1859	855
685	1862	852
686	1864	849
687	1867	846
688	1870	844
689	1872	841
690	1875	838
691	1879	836
692	1882	833
693	1885	831
694	1887	828
695	1890	825
696	1893	823
697	1896	820
698	1899	817
699	1901	814
700	1904	812
701	1907	809
702	1909	806
703	1912	804
704	1914	801
705	1917	798
706	1919	795
707	1922	792
708	1924	789
709	1926	787
710	1929	784
711	1931	781
