iter	Logloss
0	0.692883606
1	0.6925080566
2	0.6918582764
3	0.6912103271
4	0.6907687988
5	0.6905125732
6	0.6903330078
7	0.6899549561
8	0.6894216309
9	0.6890838013
10	0.6887001343
11	0.688192627
12	0.6879082642
13	0.6874615479
14	0.6872202148
15	0.6868557129
16	0.6863326416
17	0.6859553223
18	0.6855802612
19	0.6851149292
20	0.6848005981
21	0.6843911133
22	0.6839667969
23	0.6837830811
24	0.6834033203
25	0.6831228027
26	0.682796936
27	0.6826955566
28	0.6824285889
29	0.682291626
30	0.6819099121
31	0.6814642944
32	0.6810938721
33	0.680742981
34	0.6803166504
35	0.6799165039
36	0.6795244141
37	0.6792045898
38	0.6788825684
39	0.6786948242
40	0.6783723145
41	0.6782156982
42	0.6778580933
43	0.6774914551
44	0.6769943848
45	0.6768084717
46	0.6764293213
47	0.6761751709
48	0.6759487305
49	0.6756558228
50	0.6752572632
51	0.6748754883
52	0.6743765869
53	0.6741364746
54	0.6738198242
55	0.6736107788
56	0.6732231445
57	0.6730842285
58	0.6725279541
59	0.6718336182
60	0.6714448242
61	0.6712321777
62	0.6707366943
63	0.6703419189
64	0.6701334229
65	0.6699064331
66	0.6696447754
67	0.6694145508
68	0.6689666748
69	0.6686790771
70	0.6685665283
71	0.6683602295
72	0.6680256348
73	0.6676135864
74	0.6672077637
75	0.666713562
76	0.6665967407
77	0.666317688
78	0.665744873
79	0.6655977783
80	0.6653066406
81	0.6651151123
82	0.664880127
83	0.6646444702
84	0.6643580322
85	0.6641019287
86	0.6639358521
87	0.6638088989
88	0.6635894775
89	0.6634134521
90	0.6630684814
91	0.6628491211
92	0.6624940796
93	0.6622392578
94	0.6620430908
95	0.6618300171
96	0.6615028687
97	0.661012146
98	0.6605050659
99	0.6602807007
100	0.6601209717
101	0.6598828125
102	0.6597290039
103	0.6594466553
104	0.6591140137
105	0.6588309326
106	0.6585427246
107	0.658204895
108	0.6579592896
109	0.6576207275
110	0.6573588867
111	0.6570372925
112	0.6569324951
113	0.6566156616
114	0.6563752441
115	0.6559429932
116	0.6555256958
117	0.655257019
118	0.6549541016
119	0.6548278809
120	0.6543893433
121	0.6540826416
122	0.6539431763
123	0.6536972656
124	0.6533049316
125	0.6529917603
126	0.6526814575
127	0.6524104004
128	0.6522487183
129	0.6518588257
130	0.651673645
131	0.6515185547
132	0.6513693848
133	0.6511217041
134	0.6508951416
135	0.6507130737
136	0.6505615234
137	0.6503673096
138	0.6501011963
139	0.6499060059
140	0.6496017456
141	0.6493499146
142	0.6492034912
143	0.6490620117
144	0.6488082275
145	0.6485776978
146	0.6485115967
147	0.6482879639
148	0.6478442383
149	0.6476400146
150	0.6473071289
151	0.6469169922
152	0.6465904541
153	0.6462779541
154	0.6460921631
155	0.6458421021
156	0.6456478882
157	0.6452952271
158	0.6452042847
159	0.6450901489
160	0.6447662964
161	0.6444529419
162	0.6442228394
163	0.644005127
164	0.6438166504
165	0.6435722046
166	0.6433327026
167	0.6431584473
168	0.6428270264
169	0.6427042236
170	0.6422654419
171	0.6420865479
172	0.6418408203
173	0.6417073975
174	0.6415248413
175	0.6413404541
176	0.6411132813
177	0.6407484741
178	0.6404454956
179	0.6399892578
180	0.6397567139
181	0.6394920044
182	0.6391829834
183	0.6389759521
184	0.6386561279
185	0.6383277588
186	0.6380881958
187	0.6378723755
188	0.6376955566
189	0.6374973145
190	0.6372647095
191	0.6371501465
192	0.6369154053
193	0.6366529541
194	0.6364264526
195	0.6362327881
196	0.6361560059
197	0.6360192261
198	0.6358054199
199	0.6355003662
200	0.6350396729
201	0.6348908691
202	0.6347230225
203	0.6345287476
204	0.6342744141
205	0.6341204834
206	0.6339737549
207	0.6338179932
208	0.6335518799
209	0.6332173462
